Epoch 140/500 | latent_loss=0.001254 | mask_loss=0.000623 | total_loss=0.001877 | epoch_time=8.2s | eta=51.0m (finishes ~ 03:24:00)
Epoch 141/500 | latent_loss=0.001254 | mask_loss=0.000619 | total_loss=0.001874 | epoch_time=8.5s | eta=50.9m (finishes ~ 03:24:00)
Epoch 142/500 | latent_loss=0.001254 | mask_loss=0.000616 | total_loss=0.001870 | epoch_time=8.6s | eta=50.7m (finishes ~ 03:24:00)
Epoch 143/500 | latent_loss=0.001254 | mask_loss=0.000613 | total_loss=0.001867 | epoch_time=8.3s | eta=50.6m (finishes ~ 03:23:59)
Epoch 144/500 | latent_loss=0.001253 | mask_loss=0.000610 | total_loss=0.001863 | epoch_time=8.9s | eta=50.5m (finishes ~ 03:24:01)
Epoch 145/500 | latent_loss=0.001253 | mask_loss=0.000607 | total_loss=0.001860 | epoch_time=8.6s | eta=50.3m (finishes ~ 03:24:01)
Epoch 146/500 | latent_loss=0.001253 | mask_loss=0.000604 | total_loss=0.001857 | epoch_time=8.4s | eta=50.2m (finishes ~ 03:24:01)
Epoch 147/500 | latent_loss=0.001252 | mask_loss=0.000601 | total_loss=0.001854 | epoch_time=8.9s | eta=50.0m (finishes ~ 03:24:02)
Epoch 148/500 | latent_loss=0.001252 | mask_loss=0.000598 | total_loss=0.001850 | epoch_time=8.3s | eta=49.9m (finishes ~ 03:24:01)
Epoch 149/500 | latent_loss=0.001252 | mask_loss=0.000595 | total_loss=0.001847 | epoch_time=8.2s | eta=49.7m (finishes ~ 03:24:00)
Epoch 150/500 | latent_loss=0.001252 | mask_loss=0.000593 | total_loss=0.001844 | epoch_time=8.6s | eta=49.6m (finishes ~ 03:24:01)
Epoch 151/500 | latent_loss=0.001251 | mask_loss=0.000590 | total_loss=0.001841 | epoch_time=8.2s | eta=49.4m (finishes ~ 03:24:00)
Epoch 152/500 | latent_loss=0.001251 | mask_loss=0.000587 | total_loss=0.001838 | epoch_time=8.8s | eta=49.3m (finishes ~ 03:24:01)
